0,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1225,2022-06-06 14:31:50,abb271,32.797028,-105.529847,222.028333,103.799485,0.0,SWA2970,0.0,0.0,0.0,1466.0,10668.0,11209.02,1654525908.324,1654525908.324
1226,2022-06-06 17:59:30,abb595,32.531296,-109.539075,227.622141,275.47044,0.0,SWA3033,0.0,0.0,0.0,7444.0,10972.8,11536.68,1654538429.134,1654538367.511
1227,2022-06-06 02:38:40,abb8ea,37.257889,-114.066779,253.660542,75.883058,0.0,SWA1910,0.0,0.0,0.0,7242.0,8412.48,8812.53,1654483119.787,1654483119.997
1228,2022-06-06 02:00:40,abb930,34.564664,-119.515343,178.045196,315.0,-0.65024,SWA2672,0.0,0.0,0.0,7247.0,4495.8,5692.14,1654480839.584,1654480839.959
1229,2022-06-06 13:41:30,abb9b2,35.703797,-108.606749,214.258978,224.423216,0.0,1812,0.0,0.0,0.0,6557.0,10088.88,10607.04,1654522889.797,1654522889.797
1230,2022-06-06 01:52:05,abb9b2,38.124188,-103.960847,218.483707,258.454714,0.0,SWA2779,0.0,0.0,0.0,4016.0,10363.2,10721.34,1654480324.5395,1654480324.849
1231,2022-06-06 13:43:05,abbbc7,35.745653,-120.944693,188.413942,318.511943,0.0,ASA763,0.0,0.0,0.0,7362.0,6240.78,6598.92,1654522984.5475,1654522984.9615
1232,2022-06-06 21:24:30,abc12a,36.802277,-77.998753,227.554114,49.139189,0.0,SWA423,0.0,0.0,0.0,3155.0,10668.0,11056.62,1654550669.166,1654550669.783
1233,2022-06-06 02:38:30,abc432,37.071854,-107.258294,210.748815,219.906061,-0.65024,SWA2768,0.0,0.0,0.0,1471.0,7597.14,7947.66,1654483108.976,1654483109.918
1234,2022-06-06 03:04:20,abc478,35.036657,-105.602974,217.02587,227.080576,0.0,SWA1193,0.0,0.0,0.0,1475.0,10363.2,10858.5,1654484660.0,1654484660.0
1235,2022-06-06 02:47:25,abc80c,37.974047,-111.028457,201.474294,244.907908,0.0,SWA3049,0.0,0.0,0.0,610.0,9753.6,10195.56,1654483644.255,1654483644.9525
1236,2022-06-06 01:28:10,abd135,35.188065,-120.271258,210.984768,318.621485,0.0,SWA1745,0.0,0.0,0.0,6717.0,7589.52,8606.79,1654478889.782,1654478889.985
1237,2022-06-06 17:00:35,abd1c5,39.319682,-118.315058,206.564481,286.310196,0.0,SWA1771,0.0,0.0,0.0,3574.0,10363.2,10401.3,1654534834.6115,1654534834.926
1238,2022-06-06 14:38:00,abd559,38.394144,-108.08475,208.46411,250.932474,0.0,SWA3075,0.0,0.0,0.0,1434.0,10972.8,11201.4,1654526279.754,1654526279.754
1239,2022-06-06 03:50:55,abd971,36.774243,-103.249566,256.628159,113.54044,0.0,SWA2463,0.0,0.0,0.0,6773.0,10740.39,11209.02,1654487454.8335,1654487454.9105
1240,2022-06-06 18:13:15,abd9b6,37.596553,-114.343748,196.639448,254.778218,0.0,SWA1470,0.0,0.0,0.0,6555.0,8618.22,9368.79,1654539194.8445,1654539194.888
1241,2022-06-06 19:02:05,abdd6d,33.044524,-102.82494,240.536543,98.412345,0.0,SWA1075,0.0,0.0,0.0,1061.0,10546.08,11087.1,1654542124.0615,1654542124.676
1242,2022-06-06 16:37:25,abe450,37.060593,-106.870361,211.016125,247.10356,0.0,SWA1308,0.0,0.0,0.0,2506.0,9753.6,10203.18,1654532753.697,1654533436.975
1243,2022-06-06 20:12:00,abe77a,34.682767,-113.458435,217.801541,132.250721,0.0,SWA2128,0.0,0.0,0.0,6502.0,10363.2,10782.3,1654546319.269,1654546319.618
1244,2022-06-06 15:47:00,abe79d,36.964106,-77.969553,230.617849,48.848962,0.0,SWA1269,0.0,0.0,0.0,5714.0,10553.7,10980.42,1654530419.788,1654530419.862
1245,2022-06-06 12:54:45,abe79d,37.06089,-80.258244,227.719205,225.775718,0.0,SWA1818,0.0,1.0,0.0,4041.0,10709.91,11087.1,1654520084.7105,1654520084.7105
1246,2022-06-06 01:20:05,abe79d,37.030595,-78.022047,253.220395,51.578811,0.0,SWA2347,0.0,0.0,0.0,2003.0,9559.29,9898.38,1654478404.672,1654478404.684
1247,2022-06-06 15:41:45,abe82c,38.035459,-114.688648,198.445398,250.422908,0.0,SWA1947,0.0,0.0,0.0,641.0,8823.96,9189.72,1654530104.6765,1654530104.8095
1248,2022-06-06 21:57:00,abea64,37.1458,-79.22689,225.665069,163.586416,0.0,RPA4885,0.0,0.0,0.0,3361.0,9083.04,9448.8,1654552619.753,1654552619.99
1249,2022-06-06 13:33:20,abeb9f,37.898071,-109.394901,258.93863,64.58471,0.0,SWA1397,0.0,0.0,0.0,7250.0,9936.48,10386.06,1654522399.595,1654522399.741
1250,2022-06-06 01:07:55,abefdd,35.154107,-118.398571,195.960288,262.780979,-0.32512,SWA2120,0.0,0.0,0.0,7210.0,8046.72,8953.5,1654477583.162,1654477583.162
1251,2022-06-06 04:51:15,abefdd,34.666374,-119.469592,235.05667,132.817523,0.0,SWA2121,0.0,0.0,0.0,3253.0,8122.92,8500.11,1654491074.818,1654491074.9735
1252,2022-06-06 18:51:10,abf008,38.944159,-97.270752,235.424886,81.60505,0.0,SWA1913,0.0,0.0,0.0,6503.0,9037.32,9395.46,1654541469.831,1654541469.863
1253,2022-06-06 13:10:35,abf2c2,32.718821,-112.39661,225.264213,277.285959,0.0,SWA1849,0.0,0.0,0.0,7774.0,10972.8,11513.82,1654521034.958,1654521034.961
1254,2022-06-06 02:15:10,abf2ea,37.716293,-113.430799,252.818215,81.778852,0.0,SWA2718,0.0,0.0,0.0,7277.0,8389.62,8736.33,1654481709.967,1654481709.967
1255,2022-06-06 16:07:45,abfb99,37.185532,-77.979136,223.199935,48.971887,0.0,RPA4555,0.0,0.0,0.0,564.0,9753.6,10111.74,1654531664.857,1654531664.878
1256,2022-06-06 01:36:15,abfb99,37.322168,-79.904224,205.036108,225.689093,0.0,RPA4589,0.0,0.0,0.0,4567.0,10972.8,11262.36,1654479371.742,1654479372.1585
1257,2022-06-06 20:01:00,abff50,35.389801,-81.71339,203.114192,222.236143,0.0,RPA4670,0.0,0.0,0.0,6737.0,9083.04,9448.8,1654545659.901,1654545659.901
1258,2022-06-06 16:16:15,ac048d,35.412497,-120.449047,202.814205,318.074791,0.0,SWA1617,0.0,0.0,0.0,7754.0,6610.35,6926.58,1654532174.694,1654532174.9465
1259,2022-06-06 18:46:25,ac048d,34.582538,-119.070348,222.239208,140.80248,0.0,SWA997,0.0,0.0,0.0,634.0,7155.18,7818.12,1654541234.814,1654541184.9495
1260,2022-06-06 19:58:30,ac058a,51.039129,-127.17308,223.414447,298.060197,0.0,DAL2471,0.0,0.0,0.0,6606.0,7368.54,7383.78,1654545509.605,1654545509.933
1261,2022-06-06 16:28:55,ac07dc,38.049518,-110.720482,199.578063,246.78215,0.0,SWA2455,0.0,0.0,0.0,1450.0,9753.6,10218.42,1654532934.717,1654532934.9305
1262,2022-06-06 20:39:05,ac0b61,37.524422,-110.28047,203.633415,250.818289,0.0,UAL368,0.0,0.0,0.0,6544.0,9395.46,9814.56,1654547944.526,1654547944.907
