0,name,city,country,iata,icao,latitude,longitude,altitude,dst,tz
21,Pulkovo Airport,St. Petersburg,Russia,LED,ULLI,59.800301,30.262501,78.0,N,Europe/Moscow
22,Sheremetyevo International Airport,Moscow,Russia,SVO,UUEE,55.972599,37.4146,622.0,N,Europe/Moscow
23,Vnukovo International Airport,Moscow,Russia,VKO,UUWW,55.591499,37.261501,685.0,N,Europe/Moscow
24,Netaji Subhash Chandra Bose International Airport,Kolkata,India,CCU,VECC,22.654699,88.446701,16.0,N,Asia/Calcutta
25,Hong Kong International Airport,Hong Kong,Hong Kong,HKG,VHHH,22.308901,113.915001,28.0,U,Asia/Hong_Kong
26,Indira Gandhi International Airport,Delhi,India,DEL,VIDP,28.5665,77.103104,777.0,N,Asia/Calcutta
27,Kempegowda International Airport,Bangalore,India,BLR,VOBL,13.1979,77.706299,3000.0,N,Asia/Calcutta
28,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,BKI,WBKK,5.93721,116.051003,10.0,N,Asia/Kuala_Lumpur
29,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia,KUL,WMKK,2.74558,101.709999,69.0,N,Asia/Kuala_Lumpur
30,Brisbane International Airport,Brisbane,Australia,BNE,YBBN,-27.384199,153.117004,13.0,N,Australia/Brisbane
31,Gold Coast Airport,Coolangatta,Australia,OOL,YBCG,-28.1644,153.505005,21.0,N,Australia/Brisbane
32,Melbourne International Airport,Melbourne,Australia,MEL,YMML,-37.673302,144.843002,434.0,O,Australia/Hobart
33,Adelaide International Airport,Adelaide,Australia,ADL,YPAD,-34.945,138.531006,20.0,O,Australia/Adelaide
34,Canberra International Airport,Canberra,Australia,CBR,YSCB,-35.3069,149.195007,1886.0,O,Australia/Sydney
35,Sydney Kingsford Smith International Airport,Sydney,Australia,SYD,YSSY,-33.946098,151.177002,21.0,O,Australia/Sydney
36,General Edward Lawrence Logan International Airport,Boston,United States,BOS,KBOS,42.3643,-71.005203,20.0,A,America/New_York
37,Metropolitan Oakland International Airport,Oakland,United States,OAK,KOAK,37.721298,-122.221001,9.0,A,America/Los_Angeles
38,Phoenix Sky Harbor International Airport,Phoenix,United States,PHX,KPHX,33.434299,-112.012001,1135.0,N,America/Phoenix
39,San Francisco International Airport,San Francisco,United States,SFO,KSFO,37.618999,-122.375,13.0,A,America/Los_Angeles
40,Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.942501,-118.407997,125.0,A,America/Los_Angeles
41,Ronald Reagan Washington National Airport,Washington,United States,DCA,KDCA,38.8521,-77.037697,15.0,A,America/New_York
42,Miami International Airport,Miami,United States,MIA,KMIA,25.7932,-80.290604,8.0,A,America/New_York
43,Seattle Tacoma International Airport,Seattle,United States,SEA,KSEA,47.449001,-122.308998,433.0,A,America/Los_Angeles
44,Kenai Municipal Airport,Kenai,United States,ENA,PAEN,60.573101,-151.244995,99.0,A,America/Anchorage
45,Bob Hope Airport,Burbank,United States,BUR,KBUR,34.200699,-118.359001,778.0,A,America/Los_Angeles
46,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,KDFW,32.896801,-97.038002,607.0,A,America/Chicago
47,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,1026.0,A,America/New_York
48,La Guardia Airport,New York,United States,LGA,KLGA,40.777199,-73.872597,21.0,A,America/New_York
49,Portland International Airport,Portland,United States,PDX,KPDX,45.588699,-122.598,31.0,A,America/Los_Angeles
50,San Diego International Airport,San Diego,United States,SAN,KSAN,32.733601,-117.190002,17.0,A,America/Los_Angeles
51,Norman Y. Mineta San Jose International Airport,San Jose,United States,SJC,KSJC,37.362598,-121.929001,62.0,A,America/Los_Angeles
52,Denver International Airport,Denver,United States,DEN,KDEN,39.861698,-104.672997,5431.0,A,America/Denver
53,Ted Stevens Anchorage International Airport,Anchorage,United States,ANC,PANC,61.1744,-149.996002,152.0,A,America/Anchorage
54,John F Kennedy International Airport,New York,United States,JFK,KJFK,40.639801,-73.7789,13.0,A,America/New_York
55,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,672.0,A,America/Chicago
56,John Wayne Airport-Orange County Airport,Santa Ana,United States,SNA,KSNA,33.675701,-117.867996,56.0,A,America/Los_Angeles
57,McCarran International Airport,Las Vegas,United States,LAS,KLAS,36.080101,-115.152,2181.0,A,America/Los_Angeles
58,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA,39.551701,2.73881,27.0,E,Europe/Madrid
59,Addison Airport,Addison,United States,ADS,KADS,32.968601,-96.836403,644.0,A,America/Chicago
